ProductID,ProductName,Category,Type,Price,Stock,LeadTime,ManagedBy,Brand,Description
TNhb-4983,iPhone 13 Pro,Smartphone,Smartphone,405.43,120,10,IT,Apple,The iPhone 13 Pro by Apple combines quality and performance for everyday use.
EeGw-2311,The Silent Patient,Books,EBook,629.8,84,3,IT,Penguin,The The Silent Patient by Penguin combines quality and performance for everyday use.
TMCG-0242,Lego Star Wars,Toy,Toy,179.92,19,2,IT,Playmobil,The Lego Star Wars by Playmobil combines quality and performance for everyday use.
gIiQ-2116,Nike Air Hoodie,Clothing,T-Shirt,166.69,46,2,UE,Zara,The Nike Air Hoodie by Zara combines quality and performance for everyday use.
cJWa-0807,IKEA MALM Bed,Furniture,Table,364.46,138,3,IT,Pottery Barn,The IKEA MALM Bed by Pottery Barn combines quality and performance for everyday use.
lWZz-9346,West Elm Andes Sofa,Furniture,Table,189.94,86,4,UE,Wayfair,The West Elm Andes Sofa by Wayfair combines quality and performance for everyday use.
gRXB-6769,CB2 Peekaboo Table,Furniture,Chair,644.72,178,1,IT,CB2,The CB2 Peekaboo Table by CB2 combines quality and performance for everyday use.
FHDB-7612,Pottery Barn Armchair,Furniture,Chair,417.94,38,6,IT,CB2,The Pottery Barn Armchair by CB2 combines quality and performance for everyday use.
PrAk-5848,Wayfair Coffee Table,Furniture,Chair,935.35,183,7,IT,IKEA,The Wayfair Coffee Table by IKEA combines quality and performance for everyday use.
aBYF-1453,Apple AirPods Pro,Electronics,Smartphone,41.0,157,2,UE,Bose,The Apple AirPods Pro by Bose combines quality and performance for everyday use.
PZkY-5733,Herman Miller Aeron,Furniture,Chair,934.08,22,3,IT,West Elm,The Herman Miller Aeron by West Elm combines quality and performance for everyday use.
MFjW-4530,Adidas Essentials Tee,Clothing,T-Shirt,965.24,26,5,IT,Levi's,The Adidas Essentials Tee by Levi's combines quality and performance for everyday use.
KnIO-4202,Crate & Barrel Bookshelf,Furniture,Chair,461.36,173,3,UE,IKEA,The Crate & Barrel Bookshelf by IKEA combines quality and performance for everyday use.
XuQi-1451,Sony WH-1000XM4,Electronics,Hi-tech,127.76,57,6,IT,Sony,The Sony WH-1000XM4 by Sony combines quality and performance for everyday use.
BXBD-2124,Barbie Dreamhouse,Toy,Toy,463.59,177,7,IT,Lego,The Barbie Dreamhouse by Lego combines quality and performance for everyday use.
hQOf-3394,Atomic Habits,Books,EBook,495.14,145,4,IT,Simon & Schuster,The Atomic Habits by Simon & Schuster combines quality and performance for everyday use.
zaCb-2951,Bose SoundLink,Electronics,Smartphone,14.43,119,9,UE,Anker,The Bose SoundLink by Anker combines quality and performance for everyday use.
hYGp-7829,The Midnight Library,Books,EBook,627.27,39,3,IT,Penguin,The The Midnight Library by Penguin combines quality and performance for everyday use.
tAWl-3059,Article Timber Sofa,Furniture,Chair,924.03,43,4,IT,Pottery Barn,The Article Timber Sofa by Pottery Barn combines quality and performance for everyday use.
lmCx-8612,Hot Wheels Mega Garage,Toy,Toy,625.25,196,3,UE,Fisher-Price,The Hot Wheels Mega Garage by Fisher-Price combines quality and performance for everyday use.
cNHs-9823,NERF Elite 2.0,Toy,Toy,655.15,108,8,IT,Lego,The NERF Elite 2.0 by Lego combines quality and performance for everyday use.
JUty-1496,Burrow Nomad Couch,Furniture,Table,993.28,145,9,IT,West Elm,The Burrow Nomad Couch by West Elm combines quality and performance for everyday use.
UuJy-2778,Amazon Echo Dot,Electronics,Smartphone,102.52,175,10,UE,Sony,The Amazon Echo Dot by Sony combines quality and performance for everyday use.
gjvV-5791,Sapiens,Books,EBook,135.54,147,6,IT,Simon & Schuster,The Sapiens by Simon & Schuster combines quality and performance for everyday use.
suOu-7663,Levi's 511 Jeans,Clothing,Jacket,755.19,171,6,IT,Zara,The Levi's 511 Jeans by Zara combines quality and performance for everyday use.
cYGL-4043,Play-Doh Kitchen,Toy,Toy,428.15,140,3,,Playmobil,The Play-Doh Kitchen by Playmobil combines quality and performance for everyday use.
IFMD-9485,Blu Dot Strut Desk,Furniture,Table,432.35,84,6,,Wayfair,The Blu Dot Strut Desk by Wayfair combines quality and performance for everyday use.
ieuz-8185,Educated,Books,EBook,440.25,14,2,IT,Penguin,The Educated by Penguin combines quality and performance for everyday use.
CfGy-8724,Where the Crawdads Sing,Books,EBook,559.79,61,4,IT,Random House,The Where the Crawdads Sing by Random House combines quality and performance for everyday use.
JkYE-9181,IKEA MALM Bed,Furniture,Table,280.15,69,10,IT,IKEA,The IKEA MALM Bed by IKEA combines quality and performance for everyday use.
RfpW-0883,West Elm Andes Sofa,Furniture,Table,184.76,79,2,IT,CB2,The West Elm Andes Sofa by CB2 combines quality and performance for everyday use.
